[INFO] [1739202237.557483770] [seekcamera_node]: Seek Camera Manager created and callback registered.
[cameraManagerEventCallback] PRE_AGC (16-bit) streaming started.
[INFO] [1739202250.991281621] [combined_odometry_publisher]: timestamp: 1739202250912766, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070871504159923, roll: -0.02418156054887026, yaw: 2.1082739066485057
[INFO] [1739202251.041339451] [combined_odometry_publisher]: timestamp: 1739202250912766, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072081017220851, roll: -0.024106531918136203, yaw: 2.1083919215977533
[INFO] [1739202251.091303082] [combined_odometry_publisher]: timestamp: 1739202251022588, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071280301085673, roll: -0.02356864534793868, yaw: 2.109004874217046
[INFO] [1739202251.141265491] [combined_odometry_publisher]: timestamp: 1739202251022588, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070469874111798, roll: -0.023275032852205786, yaw: 2.109478839353514
[INFO] [1739202251.191364343] [combined_odometry_publisher]: timestamp: 1739202251147587, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070603004248847, roll: -0.0234582619848409, yaw: 2.1092508978432436
[INFO] [1739202251.241329159] [combined_odometry_publisher]: timestamp: 1739202251147587, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072195852890403, roll: -0.023849836869152565, yaw: 2.1087086693875
[INFO] [1739202251.291299792] [combined_odometry_publisher]: timestamp: 1739202251147587, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8073193157475768, roll: -0.02396457309924996, yaw: 2.1085146648467616
[INFO] [1739202251.341256774] [combined_odometry_publisher]: timestamp: 1739202251272587, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8073455903628768, roll: -0.023752260659045996, yaw: 2.1088218144815776
[INFO] [1739202251.391232777] [combined_odometry_publisher]: timestamp: 1739202251272587, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072505863967407, roll: -0.023358508129435483, yaw: 2.1092909664932296
[INFO] [1739202251.441268880] [combined_odometry_publisher]: timestamp: 1739202251397951, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.807314798510218, roll: -0.023280901435124658, yaw: 2.1094375044979357
[INFO] [1739202251.491259404] [combined_odometry_publisher]: timestamp: 1739202251397951, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8073784429016168, roll: -0.02359569078344544, yaw: 2.1089876496503215
[INFO] [1739202251.541285617] [combined_odometry_publisher]: timestamp: 1739202251397951, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8075265995089533, roll: -0.02398475722424088, yaw: 2.108493619714221
[INFO] [1739202251.591273807] [combined_odometry_publisher]: timestamp: 1739202251523063, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.807511606958697, roll: -0.023856794005438896, yaw: 2.108579532718908
[INFO] [1739202251.641323171] [combined_odometry_publisher]: timestamp: 1739202251523063, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8074463354360295, roll: -0.023525798432855363, yaw: 2.1090412039176694
